,artikelnr:,text:,jci1.0:,jci1.3:,versie:
12,/Hoofdstuk1/Artikel13," $ Lid1 :  $  Het briefgeheim is onschendbaar, behalve, in de gevallen bij de wet bepaald, op last van de rechter.  $ Lid2 :  $  Het telefoon- en telegraafgeheim is onschendbaar, behalve, in de gevallen bij de wet bepaald, door of met machtiging van hen die daartoe bij de wet zijn aangewezen.",1.0:c:BWBR0001840&artikel=13&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=13&z=2018-12-21&g=2018-12-21,21-12-2018
13,/Hoofdstuk1/Artikel14," $ Lid1 :  $  Onteigening kan alleen geschieden in het algemeen belang en tegen vooraf verzekerde schadeloosstelling, een en ander naar bij of krachtens de wet te stellen voorschriften.  $ Lid2 :  $  De schadeloosstelling behoeft niet vooraf verzekerd te zijn, wanneer in geval van nood onverwijld onteigening geboden is.  $ Lid3 :  $  In de gevallen bij of krachtens de wet bepaald bestaat recht op schadeloosstelling of tegemoetkoming in de schade, indien in het algemeen belang eigendom door het bevoegd gezag wordt vernietigd of onbruikbaar gemaakt of de uitoefening van het eigendomsrecht wordt beperkt.",1.0:c:BWBR0001840&artikel=14&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=14&z=2018-12-21&g=2018-12-21,21-12-2018
14,/Hoofdstuk1/Artikel15," $ Lid1 :  $  Buiten de gevallen bij of krachtens de wet bepaald mag niemand zijn vrijheid worden ontnomen.  $ Lid2 :  $  Hij aan wie anders dan op rechterlijk bevel zijn vrijheid is ontnomen, kan aan de rechter zijn invrijheidstelling verzoeken. Hij wordt in dat geval door de rechter gehoord binnen een bij de wet te bepalen termijn. De rechter gelast de onmiddellijke invrijheidstelling, indien hij de vrijheidsontneming onrechtmatig oordeelt.  $ Lid3 :  $  De berechting van hem aan wie met het oog daarop zijn vrijheid is ontnomen, vindt binnen een redelijke termijn plaats.  $ Lid4 :  $  Hij aan wie rechtmatig zijn vrijheid is ontnomen, kan worden beperkt in de uitoefening van grondrechten voor zover deze zich niet met de vrijheidsontneming verdraagt.",1.0:c:BWBR0001840&artikel=15&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=15&z=2018-12-21&g=2018-12-21,21-12-2018
15,/Hoofdstuk1/Artikel16,Geen feit is strafbaar dan uit kracht van een daaraan voorafgegane wettelijke strafbepaling.,1.0:c:BWBR0001840&artikel=16&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=16&z=2018-12-21&g=2018-12-21,21-12-2018
16,/Hoofdstuk1/Artikel17,Niemand kan tegen zijn wil worden afgehouden van de rechter die de wet hem toekent.,1.0:c:BWBR0001840&artikel=17&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=17&z=2018-12-21&g=2018-12-21,21-12-2018
17,/Hoofdstuk1/Artikel18, $ Lid1 :  $  Ieder kan zich in rechte en in administratief beroep doen bijstaan.  $ Lid2 :  $  De wet stelt regels omtrent het verlenen van rechtsbijstand aan minder draagkrachtigen.,1.0:c:BWBR0001840&artikel=18&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=18&z=2018-12-21&g=2018-12-21,21-12-2018
18,/Hoofdstuk1/Artikel19," $ Lid1 :  $  Bevordering van voldoende werkgelegenheid is voorwerp van zorg der overheid.  $ Lid2 :  $  De wet stelt regels omtrent de rechtspositie van hen die arbeid verrichten en omtrent hun bescherming daarbij, alsmede omtrent medezeggenschap.  $ Lid3 :  $  Het recht van iedere Nederlander op vrije keuze van arbeid wordt erkend, behoudens de beperkingen bij of krachtens de wet gesteld.",1.0:c:BWBR0001840&artikel=19&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=19&z=2018-12-21&g=2018-12-21,21-12-2018
19,/Hoofdstuk1/Artikel20," $ Lid1 :  $  De bestaanszekerheid der bevolking en spreiding van welvaart zijn voorwerp van zorg der overheid.  $ Lid2 :  $  De wet stelt regels omtrent de aanspraken op sociale zekerheid.  $ Lid3 :  $  Nederlanders hier te lande, die niet in het bestaan kunnen voorzien, hebben een bij de wet te regelen recht op bijstand van overheidswege.",1.0:c:BWBR0001840&artikel=20&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=20&z=2018-12-21&g=2018-12-21,21-12-2018
20,/Hoofdstuk1/Artikel21,De zorg van de overheid is gericht op de bewoonbaarheid van het land en de bescherming en verbetering van het leefmilieu.,1.0:c:BWBR0001840&artikel=21&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=21&z=2018-12-21&g=2018-12-21,21-12-2018
21,/Hoofdstuk1/Artikel22, $ Lid1 :  $  De overheid treft maatregelen ter bevordering van de volksgezondheid.  $ Lid2 :  $  Bevordering van voldoende woongelegenheid is voorwerp van zorg der overheid.  $ Lid3 :  $  Zij schept voorwaarden voor maatschappelijke en culturele ontplooiing en voor vrijetijdsbesteding.,1.0:c:BWBR0001840&artikel=22&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=22&z=2018-12-21&g=2018-12-21,21-12-2018
